"job_title_short","skills","skill_count"
"Data Engineer","sql","256286"
"Data Engineer","python","247276"
"Data Scientist","python","223115"
"Data Analyst","sql","198761"
"Data Scientist","sql","155657"
"Data Analyst","excel","144995"
"Data Engineer","aws","144400"
"Data Engineer","azure","142782"
"Data Analyst","python","128946"
"Data Engineer","spark","116509"
"Data Scientist","r","108459"
"Data Analyst","tableau","99062"
"Data Analyst","power bi","94631"
"Data Engineer","java","74730"
"Data Engineer","databricks","71639"
"Data Engineer","snowflake","68152"
"Senior Data Engineer","python","65633"
"Senior Data Engineer","sql","65450"
"Data Analyst","r","63448"
"Data Engineer","kafka","61899"
"Data Engineer","scala","61102"
"Data Engineer","airflow","60814"
"Data Engineer","hadoop","58935"
"Data Scientist","tableau","55371"
"Data Scientist","aws","55278"
"Data Analyst","sas","53930"
"Data Engineer","gcp","53382"
"Senior Data Scientist","python","51338"
"Data Scientist","sas","51110"
"Data Scientist","azure","46668"
"Data Scientist","spark","45531"
"Data Engineer","nosql","45433"
"Data Engineer","power bi","44858"
"Senior Data Engineer","aws","44207"
"Data Engineer","redshift","42746"
"Data Engineer","git","41635"
"Data Engineer","pyspark","40903"
"Data Scientist","tensorflow","40229"
"Data Engineer","tableau","39892"
"Senior Data Engineer","azure","39440"
"Senior Data Analyst","sql","38255"
"Senior Data Scientist","sql","37744"
"Data Engineer","sql server","36250"
"Data Engineer","mongodb","35580"
"Senior Data Engineer","spark","35441"
"Data Engineer","oracle","34612"
"Data Scientist","excel","33945"
"Data Scientist","power bi","33741"
"Data Engineer","docker","33648"
"Data Scientist","pytorch","33107"
